attendance,study_hours,assignments,gpa,participation,risk_level
66,3,35,6.72,1,1
72,6,66,9.01,6,0
94,0,46,8.04,10,0
70,5,36,9.8,5,0
97,1,94,6.59,10,0
97,5,74,7.3,7,0
56,1,40,7.15,1,1
68,0,77,7.91,6,0
51,2,55,6.48,1,1
95,1,82,6.13,10,0
61,0,88,9.26,4,0
90,4,75,9.04,8,0
84,5,80,8.07,2,0
78,6,42,4.41,5,0
78,4,93,5.8,9,0
84,3,94,6.84,1,0
95,0,65,6.08,4,0
48,2,38,6.89,8,1
50,2,90,9.52,2,0
84,3,43,5.86,5,0
77,3,49,6.33,7,0
94,1,32,6.24,7,0
88,4,80,8.86,9,0
92,4,70,7.59,5,0
47,5,85,5.42,6,0
83,5,94,6.96,2,0
65,5,95,8.11,6,0
77,5,75,4.02,6,0
85,6,59,7.95,9,0
59,5,36,7.42,6,1
94,6,30,4.6,10,0
62,1,31,9.57,4,1
85,0,86,7.56,5,0
79,2,97,6.3,1,0
78,4,45,7.1,2,0
48,4,58,8.3,8,1
72,2,34,5.47,2,1
95,3,31,5.16,5,0
97,5,54,5.14,8,0
95,1,38,7.47,4,0
63,6,72,8.07,9,0
97,4,95,7.04,6,0
95,1,87,8.5,7,0
53,0,93,9.11,5,1
43,6,34,5.16,9,1
45,4,81,6.69,7,1
74,6,71,7.51,3,0
91,6,77,4.62,10,0
70,1,43,6.68,4,1
99,5,38,4.02,5,0
98,5,69,8.11,1,0
72,2,73,9.39,9,0
50,3,71,4.22,2,1
53,1,86,8.73,8,1
88,0,60,8.29,10,0
96,0,62,8.8,8,0
48,6,44,6.26,8,1
56,1,75,8.63,10,1
81,1,79,8.29,9,0
46,4,55,7.59,3,1
52,0,56,6.59,3,1
88,5,93,7.31,3,0
57,0,67,7.58,8,1
63,1,90,4.25,4,1
77,5,87,5.17,7,0
79,5,79,5.32,10,0
65,5,47,6.44,2,0
70,6,40,7.93,5,0
67,6,82,7.79,9,0
42,4,65,4.15,3,1
74,0,98,6.44,5,0
64,2,66,7.08,7,1
80,3,34,4.84,2,1
54,4,65,5.43,4,1
54,6,91,5.79,3,0
60,2,51,4.68,7,1
92,1,87,9.2,5,0
40,5,99,6.67,2,0
75,1,78,6.44,1,0
43,6,78,7.69,6,0
93,0,73,4.49,2,0
64,6,81,8.33,4,0
74,1,74,6.17,6,0
92,2,84,8.22,5,0
52,2,82,6.43,3,1
48,1,61,9.84,8,1
75,4,37,8.44,7,0
97,5,96,6.56,10,0
75,2,94,8.56,5,0
58,5,82,8.05,2,0
99,1,94,8.12,9,0
95,5,34,7.95,9,0
43,2,44,4.8,8,1
45,4,69,5.9,8,1
67,6,73,9.5,6,0
61,6,96,8.88,5,0
88,0,46,5.33,5,1
69,0,75,9.84,5,0
52,5,43,9.23,5,1
87,5,79,5.71,6,0
70,6,60,6.45,10,0
85,4,73,8.68,7,0
63,5,48,7.51,3,0
47,1,64,4.15,9,1
55,3,65,7.94,8,1
74,6,98,4.14,4,0
88,1,58,8.3,2,0
43,6,58,6.99,5,1
70,4,47,9.76,9,0
88,4,84,7.5,6,0
73,6,89,7.57,3,0
100,5,43,7.94,10,0
96,2,93,5.64,9,0
63,4,61,6.59,8,0
54,4,93,7.36,4,0
84,6,55,8.05,2,0
72,4,73,4.4,5,0
89,0,48,5.34,9,1
82,1,98,4.06,7,0
94,0,30,4.85,1,1
77,5,93,5.92,10,0
83,2,79,7.84,5,0
97,3,73,7.46,6,0
91,4,57,9.23,6,0
62,4,85,7.83,4,0
78,0,71,5.3,4,1
50,2,82,6.79,3,1
56,2,45,9.83,3,1
66,0,68,9.0,3,1
70,4,53,7.03,7,0
82,4,37,4.79,1,0
69,0,74,4.76,2,1
77,0,32,4.12,6,1
85,2,83,7.5,6,0
88,5,77,6.36,5,0
71,0,75,9.28,1,0
53,0,53,8.2,1,1
44,4,56,6.42,8,1
68,1,85,6.01,6,0
84,6,50,5.49,9,0
78,1,39,9.42,3,0
78,0,69,7.18,7,0
54,0,49,9.41,9,1
91,1,42,4.99,4,0
52,2,63,6.75,10,1
67,5,75,6.98,5,0
95,2,54,5.74,5,0
65,4,63,8.69,4,0
91,2,50,8.55,6,0
43,5,98,8.06,3,0
59,1,51,8.7,5,1
99,1,49,7.72,3,0
93,3,61,7.11,10,0
61,3,100,4.54,2,0
85,2,95,6.24,8,0
82,6,83,8.54,2,0
55,6,50,8.17,8,0
95,6,99,5.29,1,0
65,1,48,6.88,9,1
47,4,69,9.66,10,0
46,3,73,4.4,2,1
92,2,47,9.26,4,0
99,0,63,8.28,2,0
69,0,68,5.98,6,1
69,2,92,7.55,10,0
66,4,70,4.23,8,0
96,5,64,5.89,8,0
68,0,49,9.01,9,1
54,1,80,9.22,10,1
53,2,71,5.81,9,1
77,2,30,9.87,10,0
56,6,73,7.04,10,0
76,2,54,7.63,3,0
63,1,63,9.68,3,1
43,3,59,5.12,1,1
57,6,66,7.63,8,0
52,1,75,6.14,8,1
66,4,62,6.64,5,0
55,0,42,5.51,3,1
50,1,83,4.17,10,1
52,4,34,6.29,1,1
72,0,76,6.08,10,1
55,2,75,6.62,6,1
45,6,76,7.88,6,0
82,1,44,9.63,5,0
54,1,38,6.15,7,1
51,5,50,5.98,7,1
73,4,30,4.96,6,1
52,6,86,6.26,10,0
68,2,71,4.64,2,1
69,0,46,5.59,8,1
84,6,75,9.74,8,0
61,3,38,8.68,3,1
68,3,40,8.45,3,1
90,0,78,4.7,4,0
100,5,43,6.73,3,0
84,1,51,6.44,2,0
54,2,99,4.92,3,1
58,1,97,8.92,8,0
75,3,40,5.73,5,1
41,4,75,8.94,6,1
90,2,37,7.21,8,0
43,3,76,9.7,6,1
74,1,57,4.08,5,1
81,2,53,5.3,6,0
96,3,58,6.53,3,0
89,1,70,4.28,4,0
45,6,65,5.18,9,1
81,0,98,6.53,3,0
54,1,84,4.65,7,1
98,1,64,5.73,4,0
93,6,100,4.45,10,0
97,4,87,7.45,2,0
69,6,75,6.46,6,0
98,4,34,8.68,4,0
57,2,97,7.21,7,0
60,3,69,5.38,6,1
73,6,65,4.77,2,0
66,2,100,8.17,3,0
47,4,100,8.66,9,0
79,3,85,7.65,6,0
44,5,91,5.41,7,0
54,4,89,7.31,8,0
48,5,95,5.19,4,0
74,4,79,9.08,5,0
60,2,43,9.48,10,1
63,6,90,8.62,4,0
47,2,85,8.41,1,1
90,6,58,5.04,5,0
92,2,67,7.52,3,0
97,6,38,7.96,3,0
53,0,75,8.29,3,1
100,2,91,6.87,6,0
60,4,57,8.52,3,0
69,1,37,7.69,4,1
82,5,97,4.4,9,0
91,5,38,9.29,4,0
84,6,81,9.27,1,0
50,2,67,7.11,10,1
43,6,89,5.6,2,0
64,6,85,5.38,9,0
67,3,30,5.19,2,1
73,5,73,5.99,3,0
65,3,60,9.26,7,0
59,0,91,7.89,4,1
65,4,36,7.58,5,1
75,1,40,8.14,4,1
66,0,85,4.64,2,1
71,2,33,4.55,4,1
61,5,66,4.22,9,0
77,4,42,5.3,8,0
80,5,82,7.33,2,0
95,3,54,5.97,9,0
45,3,70,6.96,1,1
82,2,49,8.65,4,0
94,2,54,9.48,6,0
75,6,72,5.44,3,0
63,4,95,6.53,4,0
55,0,95,8.37,6,1
67,3,86,8.67,4,0
82,1,92,6.9,1,0
48,2,69,8.96,2,1
63,2,93,6.02,2,0
59,4,90,7.51,9,0
81,6,45,5.83,6,0
84,5,37,4.97,8,0
70,6,64,4.38,7,0
90,3,47,4.17,7,0
42,0,73,5.24,8,1
64,3,91,7.12,8,0
63,1,79,8.53,4,0
60,6,44,7.03,1,0
98,4,67,6.35,5,0
96,1,51,9.37,4,0
94,5,78,7.73,8,0
74,6,45,4.38,2,0
95,0,46,6.11,10,0
100,2,75,8.79,5,0
45,1,55,5.2,2,1
41,4,60,5.72,2,1
57,4,39,9.12,7,1
89,4,88,9.82,5,0
40,3,51,5.04,7,1
45,5,57,4.63,8,1
81,2,98,9.69,1,0
70,3,93,5.75,3,0
100,5,72,8.64,5,0
47,3,39,8.97,5,1
76,6,97,8.43,3,0
48,5,35,5.44,10,1
83,6,39,6.7,6,0
53,5,71,4.68,1,1
44,6,35,8.47,6,1
98,0,81,7.69,1,0
84,2,81,8.73,7,0
95,4,88,6.67,7,0
96,0,46,6.86,4,0
84,2,54,4.52,2,0
65,2,98,6.65,10,0
96,1,43,5.02,1,0
60,2,34,5.79,6,1
93,4,47,8.11,2,0
63,2,62,7.27,8,1
62,4,84,7.86,6,0
55,4,96,9.32,1,0
55,3,44,6.06,10,1
70,0,82,8.84,1,0
59,4,82,8.93,2,0
81,1,48,6.4,6,1
100,3,69,4.36,8,0
71,0,48,8.69,8,1
46,5,78,6.14,9,1
82,3,54,5.44,5,0
63,4,78,8.6,10,0
59,1,70,9.84,9,1
41,5,40,5.96,7,1
85,4,65,9.64,3,0
96,1,44,7.18,4,0
44,6,86,9.0,2,0
42,6,31,6.34,6,1
47,5,38,4.14,7,1
82,6,55,6.52,8,0
80,1,53,9.06,7,0
43,4,88,7.36,2,1
82,5,71,7.92,1,0
90,5,100,8.26,7,0
41,6,56,9.59,6,1
71,5,71,9.5,10,0
85,1,61,8.56,3,0
61,3,64,9.83,10,0
68,6,58,6.28,5,0
71,4,63,7.79,1,0
59,0,55,7.07,9,1
77,4,61,4.45,10,0
50,3,50,7.82,4,1
90,5,58,9.83,4,0
66,1,39,4.38,10,1
78,5,66,7.2,2,0
47,1,75,5.05,5,1
76,3,43,6.11,6,0
87,3,40,5.2,6,0
59,4,83,6.77,8,0
87,5,83,7.47,4,0
84,6,65,5.2,8,0
41,3,98,8.93,9,0
65,1,54,5.97,4,1
83,5,30,4.75,9,0
62,5,67,4.71,5,0
42,5,72,5.39,7,1
65,4,38,7.42,8,1
80,6,30,9.58,7,0
72,0,82,8.17,9,0
86,3,79,7.12,3,0
67,6,81,7.64,6,0
49,0,62,7.13,8,1
49,1,42,9.78,7,1
46,6,67,7.49,7,0
43,6,42,7.9,4,1
44,6,37,8.76,9,1
86,3,41,4.25,2,0
71,2,54,8.43,2,0
100,5,72,8.67,1,0
97,2,50,8.96,7,0
46,5,45,6.63,8,1
65,0,48,8.81,5,1
61,3,54,6.76,10,1
82,3,86,9.77,1,0
67,1,80,7.59,8,0
68,5,56,5.71,9,0
51,4,54,5.51,6,1
94,1,85,4.8,10,0
72,0,40,8.67,7,1
100,2,45,8.82,4,0
68,6,48,6.28,4,0
70,3,57,9.01,4,0
79,1,53,6.1,4,1
79,3,92,9.53,6,0
49,6,71,8.37,3,0
92,1,44,9.75,3,0
82,0,61,8.8,5,0
94,1,32,8.27,1,0
50,1,82,4.71,1,1
50,2,78,9.18,4,1
66,0,75,7.64,10,1
42,2,33,5.94,9,1
48,3,50,4.65,3,1
93,6,45,6.49,6,0
48,2,49,8.02,2,1
52,5,71,4.68,7,1
51,6,72,9.36,9,0
47,1,49,5.37,4,1
41,6,97,7.44,3,0
58,5,40,9.49,2,0
79,2,62,8.9,7,0
85,0,90,7.69,4,0
71,6,73,7.17,7,0
43,1,56,8.67,8,1
46,1,44,4.84,3,1
65,1,35,6.32,2,1
60,4,48,5.98,8,1
67,6,52,6.07,6,0
69,1,31,7.92,6,1
98,3,80,8.33,5,0
50,1,96,5.71,8,1
97,1,99,8.9,8,0
75,6,66,7.37,10,0
66,3,50,7.33,10,1
64,0,93,7.85,5,0
64,5,54,9.52,10,0
96,0,38,8.97,4,0
43,2,91,8.52,8,1
40,4,46,7.0,5,1
94,1,98,6.65,7,0
69,2,64,8.46,8,0
75,0,50,4.66,4,1
92,5,78,7.87,10,0
73,6,89,7.77,5,0
89,2,83,5.33,3,0
84,2,48,7.56,9,0
49,4,44,4.25,6,1
91,1,81,4.69,1,0
64,3,87,6.54,2,0
41,0,92,6.6,4,1
99,6,75,7.0,10,0
80,2,100,4.58,6,0
48,5,89,5.58,8,0
75,5,47,5.88,2,0
42,1,42,6.52,4,1
90,5,100,8.14,1,0
67,0,68,5.61,4,1
94,1,64,4.53,5,0
64,0,60,7.77,3,1
71,4,34,6.57,10,1
42,0,35,7.74,2,1
53,3,64,7.25,8,1
83,3,89,5.85,3,0
95,3,100,4.73,2,0
63,5,59,9.96,9,0
68,3,55,5.22,8,1
71,3,42,6.6,2,1
53,5,69,4.66,5,1
41,6,51,7.33,5,1
58,4,52,9.01,4,0
88,4,98,6.77,4,0
82,6,48,6.13,1,0
77,1,60,5.14,7,1
51,4,57,4.65,7,1
90,1,98,6.26,10,0
95,4,36,4.03,3,0
49,1,68,5.24,3,1
59,0,76,6.88,6,1
93,3,100,7.42,2,0
79,1,97,8.8,5,0
83,6,75,7.78,10,0
48,6,87,6.73,7,0
58,4,65,9.84,2,0
41,0,80,8.6,9,1
57,2,75,8.12,2,1
95,5,36,4.46,6,0
55,1,97,9.48,4,0
53,1,42,8.13,4,1
42,1,52,7.76,1,1
54,5,31,4.5,4,1
55,1,99,8.91,2,0
56,5,47,6.04,8,1
69,2,97,8.58,3,0
69,1,72,8.99,5,0
45,4,95,5.57,9,1
53,3,69,4.53,5,1
41,5,91,8.95,3,0
40,3,36,9.77,7,1
99,1,37,5.99,5,0
48,3,50,5.14,9,1
56,3,40,6.27,7,1
94,3,84,6.67,8,0
60,5,68,5.57,8,0
82,1,54,5.89,10,0
58,1,52,5.12,6,1
52,0,99,7.56,5,1
54,5,88,7.6,5,0
66,6,44,7.01,6,0
76,3,78,9.56,6,0
97,3,58,6.02,2,0
69,5,84,8.26,4,0
99,3,45,4.53,6,0
83,3,73,8.16,7,0
56,3,84,8.86,9,0
52,3,74,7.72,10,1
76,6,58,8.97,1,0
46,5,78,9.0,10,0
49,1,100,7.03,1,1
98,0,47,8.2,8,0
89,0,35,5.64,4,1
77,3,44,8.39,9,0
49,2,33,4.89,6,1
61,4,83,5.93,8,0
66,6,70,7.77,1,0
41,2,44,8.66,2,1
95,3,30,4.55,8,0
77,0,39,9.45,5,1
78,5,56,9.35,8,0
57,4,57,4.93,8,1
56,1,35,8.46,9,1
96,5,36,6.35,10,0
60,3,33,7.76,1,1
90,0,96,9.45,8,0
100,6,30,9.43,6,0
88,1,40,6.73,1,0
85,0,91,6.93,7,0
95,3,51,5.92,2,0
70,4,62,5.03,2,0
78,5,61,4.33,1,0
62,3,78,7.85,9,0
58,1,85,8.09,6,1
55,5,37,5.37,4,1
67,2,90,6.7,7,0
68,2,91,8.1,3,0
70,3,50,9.93,5,0
99,1,66,9.71,9,0
44,4,78,5.88,2,1
93,2,54,8.99,10,0
90,0,92,6.54,10,0
79,5,44,8.16,6,0
71,6,55,8.6,10,0
62,5,39,7.82,4,1
44,4,46,8.21,2,1
99,0,65,4.63,10,0
47,2,97,9.11,4,0
81,6,69,6.71,3,0
65,4,44,6.14,8,1
78,1,30,8.44,4,1
97,5,77,5.71,10,0
74,6,85,4.34,3,0
81,5,34,8.82,1,0
90,2,37,5.53,6,0
81,3,56,5.92,8,0
78,3,67,8.3,5,0
55,2,53,8.81,7,1
95,3,58,5.89,10,0
57,3,73,9.8,2,0
47,3,38,5.59,5,1
53,5,61,4.08,10,1
90,2,69,6.72,3,0
68,1,72,7.24,4,0
77,1,32,9.81,6,1
95,1,51,7.95,3,0
78,3,85,9.93,10,0
57,1,63,8.16,1,1
77,3,89,8.3,10,0
95,5,84,9.07,1,0
92,5,64,7.03,2,0
66,0,93,5.96,4,0
54,1,80,8.05,2,1
92,1,37,8.34,3,0
60,2,60,6.19,6,1
75,1,98,4.85,4,0
54,1,100,8.5,9,0
43,0,92,5.01,2,1
84,5,70,6.22,9,0
62,4,82,6.6,6,0
100,1,67,7.79,10,0
97,2,86,5.14,2,0
45,6,33,9.89,2,1
47,1,81,4.13,3,1
61,3,100,5.27,1,0
53,1,77,9.66,10,1
69,3,73,6.21,3,0
56,1,74,4.89,8,1
97,3,62,7.39,9,0
76,2,97,5.18,8,0
97,4,52,9.43,8,0
59,2,58,5.42,7,1
41,4,31,6.0,3,1
75,2,61,5.52,7,0
46,5,86,7.24,2,0
56,6,50,9.62,6,0
46,4,34,5.75,6,1
100,3,43,6.23,9,0
40,6,89,8.03,8,0
77,5,32,8.79,4,0
95,2,35,6.03,8,0
71,4,53,6.96,2,0
93,6,92,4.76,3,0
62,4,39,8.17,7,1
40,3,86,8.76,7,1
58,1,84,4.18,6,1
94,4,45,5.72,9,0
52,5,35,8.77,9,1
44,5,40,5.07,3,1
67,1,80,8.86,5,0
41,2,74,7.22,6,1
96,0,68,7.18,8,0
63,6,85,8.5,9,0
78,2,39,6.73,1,1
93,2,88,9.94,4,0
48,4,74,5.68,1,1
67,0,30,5.09,5,1
60,4,39,6.74,8,1
94,3,69,4.2,10,0
56,4,55,8.45,5,1
41,5,79,6.82,3,1
83,2,97,9.94,7,0
41,3,95,7.77,2,1
95,1,64,5.19,8,0
75,3,100,4.09,2,0
78,0,95,4.97,6,0
95,4,53,8.49,5,0
61,0,76,5.94,1,1
64,3,94,5.49,7,0
98,5,89,5.56,10,0
40,6,59,7.77,2,1
92,3,33,6.26,4,0
55,1,74,4.62,9,1
59,3,43,6.98,10,1
55,0,84,7.64,3,1
96,5,87,8.34,2,0
93,4,80,4.13,3,0
98,0,85,9.24,9,0
96,6,47,7.14,3,0
62,5,97,4.88,4,0
91,0,67,7.39,1,0
43,1,77,7.92,8,1
90,4,90,8.24,2,0
98,0,32,4.11,4,1
76,4,99,5.77,1,0
51,5,76,4.39,3,1
81,1,86,8.68,3,0
56,1,99,9.24,10,0
67,5,88,8.09,5,0
54,6,56,6.48,9,0
91,0,64,10.0,8,0
56,4,46,7.07,8,1
89,0,75,7.01,8,0
81,0,67,5.77,8,0
93,0,44,8.92,9,0
85,5,41,4.42,1,0
57,2,98,7.21,7,0
89,0,95,6.4,4,0
67,6,58,9.57,5,0
48,5,80,5.67,4,0
69,5,49,5.03,8,0
73,6,68,7.07,1,0
74,0,67,6.54,3,1
63,6,55,6.06,7,0
98,4,78,9.75,3,0
89,3,87,8.4,10,0
42,6,87,8.19,8,0
41,1,80,5.42,4,1
81,4,33,4.53,1,0
99,2,64,5.92,6,0
61,6,39,7.94,2,0
73,4,91,4.99,7,0
47,0,91,6.41,3,1
69,2,37,4.21,5,1
92,0,82,9.77,8,0
62,5,77,8.4,1,0
83,5,63,6.98,2,0
100,3,33,8.0,3,0
97,6,67,5.97,10,0
81,1,55,6.04,6,0
68,6,51,4.52,6,0
65,5,55,4.88,2,0
97,3,90,7.75,9,0
46,6,39,9.9,2,1
79,5,79,5.89,9,0
89,4,71,9.9,5,0
73,6,89,5.02,7,0
56,1,50,6.72,1,1
83,0,66,4.74,5,0
56,0,72,8.06,1,1
76,6,90,9.48,4,0
89,1,87,4.01,5,0
57,3,88,7.21,8,0
85,4,38,8.04,8,0
78,5,68,7.81,4,0
59,1,80,5.0,3,1
85,4,50,9.26,3,0
66,0,41,9.25,10,1
57,6,48,6.55,6,0
60,4,57,4.08,5,1
85,6,80,8.05,2,0
53,4,69,9.7,6,0
93,0,44,9.33,1,0
77,3,56,7.94,9,0
43,0,85,4.83,4,1
56,5,49,8.49,4,0
99,2,58,9.08,6,0
87,5,93,8.97,10,0
57,4,99,8.58,5,0
59,6,68,4.84,2,0
71,2,37,4.85,2,1
47,4,51,7.28,8,1
100,5,67,9.7,8,0
63,5,30,4.92,9,1
83,2,70,7.61,9,0
56,0,66,5.21,1,1
81,5,71,5.44,9,0
52,0,94,9.51,4,1
96,5,68,5.57,4,0
48,6,50,4.58,9,1
51,5,44,4.43,2,1
78,2,50,6.36,9,0
81,2,50,8.51,1,0
47,6,52,7.86,2,1
92,6,80,7.53,6,0
96,4,95,9.61,9,0
46,4,39,4.72,6,1
93,2,79,5.52,4,0
68,3,39,9.55,1,0
100,4,52,8.23,4,0
65,1,90,8.91,2,0
82,1,63,6.28,5,0
76,6,63,4.39,9,0
47,2,34,7.9,6,1
73,2,87,6.05,2,0
68,5,90,7.8,1,0
95,5,48,7.47,5,0
64,3,71,8.4,2,0
76,2,79,8.92,10,0
65,0,90,8.18,7,0
40,0,68,8.64,8,1
40,0,50,5.6,1,1
75,4,97,8.78,4,0
68,2,42,4.01,8,1
64,3,38,9.29,7,1
57,6,39,5.01,8,1
73,5,66,7.44,1,0
60,1,84,4.33,7,1
67,6,76,6.46,2,0
88,3,57,7.11,9,0
57,2,38,9.44,5,1
74,6,81,8.71,2,0
47,1,79,4.45,9,1
54,1,92,5.07,3,1
83,2,49,4.51,5,0
65,4,91,9.2,3,0
82,2,62,9.65,8,0
65,5,63,8.35,2,0
93,5,57,7.41,5,0
67,3,98,6.04,1,0
44,1,71,5.04,5,1
52,6,74,5.71,10,0
89,5,95,4.94,10,0
99,6,56,5.37,9,0
80,0,63,4.98,10,1
95,2,62,8.38,9,0
64,0,54,6.36,2,1
85,1,57,6.17,10,0
52,2,47,7.89,9,1
52,1,35,5.03,1,1
94,0,97,5.79,6,0
57,0,75,9.84,2,1
43,1,99,5.49,8,1
40,0,93,5.91,1,1
94,1,79,9.8,1,0
40,5,40,6.33,8,1
49,2,80,6.14,8,1
75,5,35,9.39,5,0
45,3,40,8.27,4,1
53,5,37,8.1,2,1
43,1,91,6.15,6,1
74,2,55,5.99,3,1
97,5,94,9.62,5,0
62,0,93,5.76,2,1
62,2,48,8.75,6,1
60,6,71,6.66,10,0
73,3,71,4.42,1,0
95,3,47,8.07,4,0
71,5,97,7.7,3,0
85,4,76,9.65,10,0
100,0,82,7.06,5,0
79,0,82,4.65,10,0
64,2,44,4.37,1,1
72,6,100,5.76,8,0
87,5,72,7.71,3,0
68,0,57,8.83,8,1
47,2,35,8.92,4,1
60,6,93,4.1,9,0
55,5,46,7.91,8,1
59,3,92,8.44,4,0
48,2,56,7.32,4,1
47,4,38,7.46,8,1
94,2,67,8.2,8,0
95,1,67,4.84,2,0
70,2,74,6.62,1,0
43,1,77,9.8,6,1
91,0,74,6.24,9,0
50,4,97,5.11,5,0
78,4,34,8.61,9,0
85,2,46,7.8,5,0
53,6,73,7.18,6,0
76,0,53,4.42,7,1
47,2,96,6.8,4,1
84,0,88,7.49,2,0
40,2,81,9.16,3,1
77,0,45,6.0,2,1
98,3,56,7.02,2,0
60,4,79,5.99,10,0
44,0,88,7.16,9,1
77,5,63,4.85,10,0
89,4,93,4.79,5,0
51,4,54,4.94,9,1
98,5,94,4.95,5,0
53,5,50,8.25,4,1
45,1,38,9.8,2,1
61,1,67,8.17,7,1
93,2,98,9.67,1,0
100,6,81,6.05,9,0
81,0,57,4.54,10,1
66,3,71,4.8,1,0
55,0,62,6.27,3,1
93,5,50,6.77,8,0
47,1,71,8.22,9,1
50,6,67,8.44,4,0
74,3,77,6.87,8,0
57,2,32,7.75,10,1
80,2,53,5.36,4,0
58,4,46,4.85,3,1
64,5,42,7.97,10,0
73,4,37,8.42,1,0
55,5,74,9.85,4,0
57,1,60,8.37,5,1
96,0,72,9.42,5,0
67,1,33,4.27,8,1
72,2,49,7.73,8,1
93,2,55,5.82,6,0
49,2,89,9.04,4,0
45,1,100,7.1,5,1
48,0,49,8.8,4,1
90,3,73,4.03,3,0
40,5,36,6.22,2,1
43,5,98,7.46,10,0
83,4,83,9.21,9,0
95,5,90,9.41,9,0
87,1,82,4.25,1,0
72,6,64,4.85,6,0
46,5,96,6.0,3,0
50,2,88,4.64,2,1
44,3,42,7.2,5,1
93,2,84,4.96,10,0
72,6,38,4.54,10,0
42,6,70,5.58,1,1
65,0,97,4.88,8,1
83,6,72,8.49,5,0
62,6,93,5.27,5,0
95,4,93,9.78,6,0
83,6,32,6.51,9,0
58,5,46,8.75,2,0
75,1,66,6.49,7,0
99,3,72,8.17,1,0
45,0,67,7.16,7,1
86,2,46,6.3,5,0
51,2,38,7.91,9,1
67,3,30,9.34,6,1
86,0,44,8.81,2,0
75,4,45,6.5,10,0
75,4,98,4.92,5,0
53,6,65,7.47,7,0
99,6,46,8.84,9,0
53,3,32,4.76,9,1
51,4,40,4.18,6,1
44,0,83,7.72,2,1
64,6,54,7.49,8,0
63,3,100,4.9,10,0
94,4,39,9.28,8,0
99,5,53,7.72,2,0
96,1,51,6.0,4,0
49,1,99,5.99,5,1
50,4,93,7.62,2,0
47,3,33,7.66,1,1
97,5,70,4.27,9,0
95,1,45,5.1,4,0
95,3,30,4.82,8,0
74,4,52,6.72,5,0
74,0,79,6.12,4,0
65,1,61,4.21,10,1
99,1,58,9.78,9,0
49,4,93,9.56,1,0
72,3,84,9.86,9,0
81,1,41,8.65,3,0
68,3,56,5.74,3,1
88,1,84,7.21,9,0
55,5,62,7.45,6,0
100,5,80,5.18,5,0
47,4,96,8.05,2,0
66,6,45,9.4,5,0
92,2,34,5.88,7,0
80,2,65,6.91,2,0
77,1,33,4.67,6,1
41,0,60,9.97,2,1
98,4,47,5.57,9,0
49,1,61,9.85,10,1
86,1,82,9.85,1,0
87,3,69,9.09,4,0
92,4,89,4.7,5,0
55,0,61,6.48,1,1
69,5,57,5.3,9,0
76,6,36,7.89,8,0
63,5,32,8.1,4,1
91,5,88,8.57,3,0
91,0,64,8.26,8,0
73,6,31,4.76,10,0
43,4,44,6.09,10,1
49,4,38,8.67,5,1
88,5,88,7.47,6,0
68,6,86,4.17,1,0
60,4,46,7.54,6,1
49,6,100,6.72,3,0
61,5,92,7.02,3,0
83,4,68,6.82,1,0
83,2,30,10.0,6,0
59,2,33,5.44,8,1
41,6,64,5.9,7,1
57,3,95,7.38,9,0
41,6,36,6.1,2,1
67,2,100,7.25,4,0
49,1,72,4.41,3,1
78,4,81,9.3,4,0
100,1,64,5.12,1,0
41,0,41,9.05,5,1
90,4,60,7.06,10,0
82,4,56,9.25,10,0
50,0,57,8.05,2,1
88,5,73,6.61,6,0
88,2,65,9.28,1,0
84,0,53,7.67,4,0
53,4,92,4.02,4,0
86,0,43,9.96,9,0
92,0,86,4.08,6,0
59,2,91,6.79,2,0
49,4,61,9.17,4,1
87,5,47,5.15,4,0
87,6,56,9.91,2,0
52,4,72,6.27,2,1
61,6,83,9.82,1,0
53,6,56,5.86,4,1
61,5,97,5.73,4,0
58,5,53,7.89,7,0
86,2,38,9.12,3,0
98,1,41,4.6,6,0
84,5,42,7.33,2,0
99,5,66,9.56,1,0
98,5,93,7.38,2,0
78,0,33,7.6,2,1
91,0,72,9.3,8,0
83,5,78,8.73,3,0
67,1,62,4.91,6,1
59,4,41,7.57,8,1
99,1,85,6.13,8,0
63,3,46,8.49,9,1
44,5,42,8.87,2,1
76,1,49,7.53,5,1
48,1,71,7.85,4,1
61,0,75,5.08,7,1
91,3,58,4.93,5,0
47,0,38,7.51,6,1
85,0,60,8.06,5,0
42,5,74,9.8,1,0
60,2,82,5.95,9,1
79,3,55,8.01,5,0
42,5,83,5.55,6,1
49,6,45,9.37,9,1
96,3,48,5.98,3,0
91,5,75,8.6,8,0
88,5,51,8.97,7,0
45,3,30,4.88,9,1
41,4,73,7.11,4,1
85,4,31,7.21,8,0
63,2,82,4.81,7,1
43,6,69,4.99,1,1
68,4,35,8.55,8,0
87,1,71,6.4,8,0
66,3,99,6.26,7,0
53,3,78,4.98,7,1
98,3,59,5.81,3,0
48,1,72,5.21,5,1
92,1,56,4.1,4,0
94,1,48,8.25,3,0
66,2,56,5.88,4,1
99,4,100,6.63,9,0
71,4,72,6.54,3,0
80,0,73,6.03,4,0
72,6,30,9.68,8,0
82,5,51,4.42,8,0
83,4,43,5.14,6,0
70,1,89,8.33,3,0
70,4,33,5.86,4,1
85,0,77,5.02,6,0
71,1,91,4.33,7,0
58,3,97,4.25,5,0
100,6,71,4.96,10,0
90,4,82,4.57,2,0
99,6,82,5.69,1,0
48,5,34,9.83,2,1
75,3,50,5.28,2,0
77,5,58,9.61,6,0
93,1,51,6.07,10,0
59,5,32,7.45,9,1
